Dimension,Dimension Label,Statement,Unhelpful Thoughts (CBT_Stage1),Unhelpful Thoughts Label,Challenge (CBT_Stage2),Challenge Label,Another Way (CBT_Stage3),Another Way Label
Getting adequate nutrition,16_nutrition,"I've been going on a pretty strick vegetarian diet, but I think my body is not responding well. I wanted to lose weight and become healthier, but I started to feel sick after going into this diet.","I jumped into this vegetarian diet hoping for positive changes, but now I'm just feeling worse. It's like my body's rejecting this new way of eating, even though I thought it was supposed to be healthier.",0,"Is my vegetarian diet well-balanced, or could I be missing out on essential nutrients? Maybe the issue isn't the diet itself but how I'm approaching it.",0,Reevaluating my diet with a nutritionist or doing more research could help me adjust it to better suit my body's needs. There are other ways to lose weight that does not require such a strict diet.,0
Problem solving and decision making capability,17_problem,"I am terrible at making decisions. I've always had someone take care of things for me, but now I'm living alone and having trouble to decide what needs to be done.","Making decisions is just not my strong suit. I used to have others make them for me, and now that I'm on my own, it feels like I'm just naturally not good at it.",0,"Could it be that I'm not used to making decisions, rather than not being capable of it? What small steps can I take to become more confident in my decision-making abilities?",0,"Starting with smaller, less impactful decisions could help build my confidence. It's also okay to ask for advice or do a bit of research when I'm unsure, as long as I'm gradually taking more of these decisions into my own hands.",0
Problem solving and decision making capability,17_problem,"I always need a long time to make decisions. When I have a choice to make, I often can't determine which is better than the other, and I also cannot just decide on one and see what happens, so I get stuck.",I overthink the options to the point where I can't pick one. It feels safer to not choose at all than to make the wrong decision.,0,"Is there really a wrong decision, or are most choices just different paths with their own sets of pros and cons? What's the worst that could happen if I make a decision and it's not perfect?",0,Maybe I could try giving myself permission to make good enough decisions instead of perfect ones. Setting a time limit for decision-making might also help me move forward without getting too bogged down.,0
Problem solving and decision making capability,17_problem,"I'm bad at solving tough problem that has a lot of stakes to consider. When I encounter such a problem, I panic and lose focus.","Every time I hit a big, complicated problem, I just fall apart. The pressure of getting it right because it's so important just overwhelms me, and I can't think straight.",0,"Is the panic really about the problem itself, or is it more about how I'm approaching it? Maybe breaking it down into smaller, more manageable parts could help me tackle it without getting overwhelmed.",0,Approaching these problems step by step might make them feel less daunting. And reminding myself that it's okay to ask for help or take a break when I'm feeling stuck could help keep the panic at bay and maintain focus.,0
Problem solving and decision making capability,17_problem,"I'm bad at solving tough problem that has a lot of stakes to consider. When I encounter such a problem, I panic and lose focus.","Every time I hit a big, complicated problem, I just fall apart. The pressure of getting it right because it's so important just overwhelms me, and I can't think straight.",0,"Is the panic really about the problem itself, or is it more about how I'm approaching it? Maybe breaking it down into smaller, more manageable parts could help me tackle it without getting overwhelmed.",0,"Alternatively, I can just avoid having to deal with tough problems.",1
Family support,18_support,"I am not supported by my family. I seem to always want to do things that's against what my family wants, so I feel disconnected with them.","It feels like my family and I are just on different wavelengths. Every time I want to pursue something, it's like hitting a wall with them.",0,Could there be a way to communicate my goals and desires to my family in a way that they might understand better? Is there a middle ground where we can respect our differences but still find some common support?,0,"Maybe I need to find support in other places, like friends or communities with similar interests. ",0
Family support,18_support,I don't know. I like to keep everything to my self so I barely talk to them. I don't know if they will support me and I'm  hesitant to find out.,"I've always kept things close to my chest, thinking it's easier that way. It's like I'm stuck in my own head with these worries.",1,Could my assumption that they won't understand or support me be based more on fear than reality? What might happen if I took a small step to share something with them?,0,"Finding a casual way to start communicating more with my family could help test the waters. It doesn't have to be all or nothing. I can share small things and see how it goes, building up to more personal topics as I feel more comfortable.",0
Family support,18_support,My family does not support me. They don't like my job and we are barely seeing each other.,"We hardly spend any time together, and I can feel the disapproval hanging in the air every time my work comes up. It's like we're drifting apart.",0,"Is the distance between us solely because of my job, or could there be other underlying issues? What steps could I take to address this divide, even if they don't agree with my career?",0,Maybe I could try to find some common ground outside of work or initiate conversations to express how this rift is affecting me. It might also be helpful to seek understanding and find ways to connect that don't involve my job.,0
Family support,18_support,My family does not support me. They don't like my job and we are barely seeing each other.,"We hardly spend any time together, and I can feel the disapproval hanging in the air every time my work comes up. It's like we're drifting apart.",0,"Is the distance between us solely because of my job, or could there be other underlying issues? What steps could I take to address this divide, even if they don't agree with my career?",0,It's my family's problem for not understanding my choices. I can just move on without them.,1
Family relationship,19_family_relationship,My relationship with my family members is not too well. My parents always fights and I moved out as soon as I could.,Growing up in a house where there was always tension has really strained my connection with my family. Moving out was my way of escaping that.,0,"Is the distance from my family solely a result of the conflicts, or are there ways I can build individual relationships with them despite the past? ",0,"Perhaps reaching out to my family members individually could help mend some of those strained relationships, focusing on positive interactions. It's about finding a new way to connect that isn't overshadowed by past conflicts.",0
Family relationship,19_family_relationship,I feel like I'm not too close to my family anymore. I am very busy at work and often forget to contact them or meet them.,"With all the demands of work, it's like my family has just slipped to the back burner. I barely reach out, and the gap just keeps growing. ",0,"Is my busy schedule the only reason for the growing distance, or could I find small ways to stay connected even amidst the chaos? Maybe there are simple, quick methods of communication I haven't considered.",0,"Setting reminders to check in with my family or scheduling regular catch-ups, even if they're brief, could help bridge the gap. It's about making those small efforts consistently to maintain the bond, even when life gets hectic.",0
Family relationship,19_family_relationship,I feel like I'm not too close to my family anymore. I am very busy at work and often forget to contact them or meet them.,"With all the demands of work, it's like my family has just slipped to the back burner. I barely reach out, and the gap just keeps growing. ",0,"Is my busy schedule the only reason for the growing distance, or could I find small ways to stay connected even amidst the chaos? Maybe there are simple, quick methods of communication I haven't considered.",0,I will stick to my work for now. Maybe eventually there will be sometime in the future where I'm less busy.,1
Family relationship,19_family_relationship,"I am not a very emotional person, so I don't feel like I have a strong connection with my family. Honestly, I don't feel a strong connection with anyone.","Being less emotional makes me feel disconnected from my family and others. It's like there's a barrier I can't cross, making it hard to form deep bonds.",0,"Is emotional expressiveness the only way to connect with others, or could there be different ways to build strong relationships that align with my personality?",0,"Maybe I can find alternative ways to show I care and connect with people that don't necessarily require overt emotional expressions. It could be through shared activities, thoughtful gestures, or just being present and reliable in their lives.",0
Alcohol abuse,20_alcohol,"I often drink alone and a lot. When I get stressed, I like to drink alcohol to temprorarily forget about what I need to do.","Whenever stress piles up, it feels like alcohol is my only escape. It's like a quick fix that lets me push all those worries aside, even if it's just for a little while.",0,"Is relying on alcohol to cope with stress really helping, or is it just a temporary band-aid that might be causing more issues in the long run? What healthier coping mechanisms could I explore?",0,"Finding healthier stress relief methods, like exercise, hobbies, or talking to someone, could offer a more sustainable way to manage stress without the downsides of alcohol.",0
Alcohol abuse,20_alcohol,I think I'm drinking too much and my body is getting worse. I just love the taste of it and the feeling of getting drunk. ,"I'm caught up in how good it feels to drink and the escape it provides, but I can't ignore the toll it's taking on my health. It's like I'm stuck between wanting that feeling and knowing it's harming me.",0,"Could there be a way to enjoy the aspects I like about drinking in moderation, or find alternative activities that provide a similar sense of enjoyment without the negative health effects?",0,Exploring hobbies or interests that bring me joy and relaxation might help reduce my reliance on alcohol for pleasure. It could be about finding balance and healthier ways to cope and unwind.,0
Alcohol abuse,20_alcohol,I can't live without alcohol. I need it to relax and sleep at night.,"It's like I've become dependent on alcohol to wind down and sleep. Without it, I feel anxious and restless.",0,"Is there a way to address the underlying reasons for my anxiety and sleep issues, rather than relying solely on alcohol? Could there be healthier relaxation and sleep strategies I haven't explored?",0,"Exploring relaxation techniques, such as meditation or deep breathing exercises, might provide an alternative way to unwind and improve sleep. It's about finding a sustainable path to relaxation and rest without relying on alcohol.",0
Alcohol abuse,20_alcohol,"I often drink alone and a lot. When I get stressed, I like to drink alcohol to temprorarily forget about what I need to do.",Other people drink alcohol to relax too. It's fine if I do the same.,1,"Is relying on alcohol to cope with stress really helping, or is it just a temporary band-aid that might be causing more issues in the long run? What healthier coping mechanisms could I explore?",0,Finding other methods seems to be too much work. At least I can still somewhat function right now.,1
Tobacco abuse,21_tobacco,"I don't smoke cigarettes, but I vape every day. I vape when I am working hard or debugging.  ",My unhelpful thoughts might be vaping is the only way I can relieve stress or concentrate while working.,0,Sometimes vaping doesn't help with my concentration during work or efficiency while I am debugging. There are long-term harm to health if I vape a lot as well.,0,"Although I often rely on vaping to manage stress and enhance concentration, it's not the only method available to me. In fact, sometimes vaping doesn't actually improve my concentration or efficiency. There are also long-term health risks associated with frequent vaping. I can explore other healthier stress management and focus-enhancing techniques that are beneficial for both my mental and physical well-being. ",0
Tobacco abuse,21_tobacco,"I don't smoke cigarettes, but I vape every day. I vape when I am working hard or debugging.  ",I can’t work or solve problems effectively without vaping,0,There are several potential health impacts of vaping. It's bad for my lung.,0,Vaping is unhealthy. But I need vaping to concentrate and work to make a living.,1
Tobacco abuse,21_tobacco,"I don't smoke cigarettes, but I vape every day. I vape when I am working hard or debugging.  ","I think I vape because I enjoy the flavors, and it's just a harmless habit.",1,"I should stop vaping immediately. Other people can manage stress without vaping, so I should be able to as well.",1,"Since vaping is bad and others don’t need it, I must stop it right now to prove that I can handle work and stress like everyone else. ",1
Tobacco abuse,21_tobacco,I smoke at most 10 cigarettes per day. I smoke because some of my colleagues also smoke in between work. So I just join them.,I smoke cigarettes because my colleagues smoke and I want to join them.,0,There might be other healthier ways I can hangout with my colleagues.,0,I might be able to stop smoking as I leverage the smoking break as the time to hang out with my colleagues.,0
Tobacco abuse,21_tobacco,I smoke at most 10 cigarettes per day. I smoke because some of my colleagues also smoke in between work. So I just join them.,"I smoke because I like the taste of cigarettes, and it gives me something to do during breaks.",1,There might be other healthier ways I can hangout with my colleagues and taking breaks.,0,I might be able to stop smoking as I leverage the smoking break as the time to hang out with my colleagues.,0
Other substance abuse,22_substance,I smoke weed a few times a week alone. I need to take some weed to help me get inspirations for my work. ,"I smoke weed because it's the only way I can relax and unwind. Without it, I can't cope with the stress of my day-to-day life.",1,There are sometimes I get inspiration and feel good after I hangout with my friends in a jazz bar.,0,"While I've often used weed as a tool for inspiration and relaxation for my work, I recognize that it's not my only option. There have been times when I've found inspiration and felt good in other settings, like when I hang out with friends at a jazz bar. This suggests that my creativity and relaxation aren't solely dependent on smoking weed. ",0
Other substance abuse,22_substance,I smoke weed a few times a week alone. I need to take some weed to help me get inspirations for my work. ,I smoke weed to get inspiration for my work.,0,Somking weed does not always bring me inspirations. Sometimes it gets me depressed instead.,0,"I have believed that smoking weed is essential for finding inspiration for my work, but I've realized this isn't always the case. In fact, sometimes it can have the opposite effect, leaving me feeling depressed rather than inspired. This recognition opens up the possibility that inspiration can come from other sources and activities, ones that don't have negative side effects on my mood. I can explore alternative ways to stimulate my creativity, such as engaging in different types of brainstorming activities, seeking new experiences, or drawing inspiration from nature, books, or art. ",0
Other substance abuse,22_substance,I smoke weed a few times a week alone. I need to take some weed to help me get inspirations for my work. ,I smoke weed to get inspiration for my work.,0,Somking weed does not always bring me inspirations. Sometimes it gets me depressed instead.,0,Smoking weed not always provide me inspiration. But I just love weed. I love to get inspiration from weed.,1
Other substance abuse,22_substance,"Every evening, after a long day of work, I feel mentally drained and anxious about the next day. To relax and escape these feelings, I've begun to drink alcohol or occasionally use prescription drugs alone at home. It started as a way to take the edge off after particularly tough days, but now it has become a routine.",The only way I can cope with the stress and pressure from my job is by using substances.,0,Use the substances and drink will harm my health in the long term.,0,"While they seem to offer temporary relief, I understand that there are healthier ways to manage my stress. I can explore stress reduction techniques such as running. There are a few running clubs in my area. It might be good to join in one and start to socialize myself with others as well.",0
Enjoying personal choices for leisure activities: ,23_leisure,I don't have too much personal leisure time recently. I am too busy with upcoming deadlines in school.,The upcoming deadlines compromise my personal leisure time.,0,"Sometimes I when I work for my deadlines, I am not efficient. ",0,I could convert the less-efficient time period to some short segments of personal leisure time and enjoy some activities I like. Such as running and hiking.,0
Enjoying personal choices for leisure activities: ,23_leisure,"I'm currently a PhD student in electric engineering, deeply immersed in my research. My days are filled with experiments, data analysis, and writing academic papers. When I'm not working on my research, I find myself without any clear idea of what to do for leisure. My social circle has become quite limited, mostly consisting of fellow researchers and academics, and our conversations often circle back to work and studies. And I will feel guilty if I really spend time on my hobbies, like watching movies and go shopping.",I have no idea for what should I do for my leisure time.,1,"If I push myself into social events or start a new hobby immediately, I'll stop feeling this way.",1,"To fix this situation, I will start doing a variety of random activities and hobbies immediately. I should start to try to go to the gym with my labmates. They seem to go to gym every other day.",1
Enjoying personal choices for leisure activities: ,23_leisure,"I'm currently a PhD student in electric engineering, deeply immersed in my research. My days are filled with experiments, data analysis, and writing academic papers. When I'm not working on my research, I find myself without any clear idea of what to do for leisure. My social circle has become quite limited, mostly consisting of fellow researchers and academics, and our conversations often circle back to work and studies. And I will feel guilty if I really spend time on my hobbies, like watching movies and go shopping.","Because of my intense focus on my PhD work, I feel like I've lost the ability to enjoy other activities. I think there's nothing else that can be as fulfilling or engaging as my research, so why bother trying something else?",0,"I should start to try to think turn some tasks in my research into something I treat as fun thing during my ""leisure time.""",1,If I turn some tasks in my research into something I treat as fun thing. Then I can treat these tasks as the thing I am doing during my leisure time.,1
Enjoying personal choices for leisure activities: ,23_leisure,"I recently retired after a 30-year career in elementary education, which was both my job and my passion. Now, with ample free time and a lack of routine, I feel lost and directionless. My days, previously filled with teaching. But now I am at a loss. I used to have hobbies like gardening and reading, but I've lost interest in them over the years. I lost my habbits and my friends and family are still busy. ",I lost my hobbies during my leisure time because I just retired and lifestyle has been significantly changed.,0,It might be a new start for me to explore other hobbies. There are other retired people like me in my community.,0,I can try to meet new people and participate in local clubs to explore new hobbies and activities to do during my leisure time.,0
Creativity,24_creativity,No. I am not a creative person. It's hard for me to create something out-of-the-box. I am used to follow instructions.,"It's hard for me to create something out-of-the-box, so I'll never be good at tasks that require creativity.",0,"I think I am not creative enough because I am living in a routine lifestyle after I join my current job and haven't being creating things for years. Maybe it's not I am creative enough, instead, it might be I am not dare to create things.",0,"While I've been living a routine lifestyle and haven't engaged in many creative activities since starting my current job, this doesn't necessarily mean I lack creativity. It's possible that my routine has simply made me less inclined to explore creative avenues. Just as I've adapted to a structured work environment, I can also cultivate a habit of creativity. ",0
Creativity,24_creativity,"I don't like to create new things. I feel sometimes it is risky to be creative. I though I was creative and designed my walk-in closet. Then when I was using my closet now, I realized that I should just follow the expert suggestions. ",I feel I am genetic not a creative person so I don't like to be creative.,1,I wish I could be a creative person and my parents said I was creative when I was a child.,0,"While I currently feel hesitant about being creative due to past experiences, like the walk-in closet design that didn't turn out as expected, this doesn't mean I am inherently uncreative. It's natural to have some projects that don't work out as planned. Such experiences are part of the creative process and not a reflection of my overall ability. The fact that I took the initiative to design my closet shows a willingness to try creative solutions. My current reluctance might stem more from a fear of failure or risk, rather than a lack of creativity.",0
Creativity,24_creativity,Emm. I haven't done any creative work recently. I just don't know what are the creative things I can do.,I haven't done anything creative because I don't know what can be creative in my life.,0,Maybe creativity isn't limited to activities like painting or writing. I did housework any reorganize my desk.,0,"Although I initially thought I haven't been doing any creative work because I wasn't sure what counts as creative, I realize now that creativity isn't confined to conventional activities like painting or writing. In fact, the way I handle daily tasks, such as reorganizing my desk or doing housework, involves a level of creativity. ",0
Participation in community,25_community,I don't participate in any event in my community. I just moved to a new city. And I am afraid of making new friends.,"I am afraid of meeting new people in the new community, which might be uncomfortable.",0,I might make the decision too early about being uncomfortable.,0,"While I'm currently hesitant to participate in community events and meet new people in this new city due to a fear of discomfort, I realize that my apprehension might be premature. It's natural to feel some unease in unfamiliar settings, but this doesn't necessarily mean my experiences will be negative. Maybe I will meet someone with common interest as we all love New York City.",0
Participation in community,25_community,"My issue is social anxiety, specifically in group settings or parties.","When I'm in a social situation, I often have negative thoughts like:
Everyone is judging me. I'll say something stupid and embarrass myself. No one really wants to talk to me.",0,I can challenge these negative thoughts by asking myself: Is there any real evidence that people are constantly judging me? Have I actually embarrassed myself in every social situation I've been in? Have there been times when people genuinely seemed interested in talking to me?,0,"After challenging my negative thoughts, I can reframe them to be more balanced and helpful:
People may have their own concerns and may not be focused on me all the time.
I've had good conversations in the past without embarrassing myself.
There are times when I've enjoyed social interactions and felt connected with others.",0
Participation in community,25_community,I am an introverted person. I do not enjoy community activities. I feel uncomfortable when there are many people. I prefer to be alone.,I must avoid all social interactions because I'm introverted and socializing always drains my energy.,1,I just like to be alone or with my close friends only.,1,I cannot reframe it. I just don't like a lot of people around me.,1
Participation in community,25_community,"I feel like I have language barrier to participate in community event. I am a Chinese, but the county I live in are filled with Korean and Americans.",Language barrier prohibit me from participating in local community events.,0,"There might be some local events that are non-verbal. I could start with joining some sports club, which does not need too much communication.",0,"While I initially felt that my language barrier prevented me from participating in community events in an area predominantly populated by Korean and American residents, I now realize that not all events require advanced language skills. There are non-verbal or less language-intensive activities where I can start engaging with the community. For example, joining a sports club can be a great way to be part of local events without the need for extensive communication. Additionally, there might be events that cater to multi-lingual audiences or have other Chinese-speaking participants, making it easier to connect. ",0
Participation in community,25_community,Community events are waste of time. I am too busy with my work. I just want to spend my time on things I am interested in after work.,I don't have time to participate in community event.,1,There might be some community events possibly align with my interests or offer a valuable break from work. ,0,"While I am busy with work and have personal interests, some community events possibly align with my interests or offer a valuable break from work. So I might want to spend time explore the possibilities a little bit.",0
Support from social network,26_support_social,"Other than family members, I don't have any social support. I don't have true friends.",I don't have any social support because I feel like I don't have true friends.,0,Some people get pet to become their emotional support.,0,"Social support might not only come from people, pets might also be an option. I could consider find a fluffy friend.",0
Support from social network,26_support_social,"Outside of my family, I don't have a social network. Most of my weekdays are consumed by long hours at work, and I often bring work home. Due to the demanding nature of my job, I find little time to socialize or engage in activities outside of my professional life. ","My job is taking over my life, and I'll never have time to make and meet friends other than my family members and colleagues.",0,It seems like some of my colleagues have same interests with me. It might worth to try to connect with them outside of work.,0,"While my job is demanding and takes up a significant portion of my weekdays, I recognize that I have the opportunity to connect with some of my colleagues who share similar interests. This can be a valuable avenue for building a social network beyond my family.",0
Support from social network,26_support_social,I sometimes feel like I lack a broader network of friends or individuals I can rely on for emotional support and guidance. I don't trust people around me. So I regrad no one as support.,"I don't trust people around me, so I regard no one as support.",0,I was betrayed by my best friend before. I don't like to trust others.,1,I don't trust other people other than my family. So I don't have other close support. It's not my fault. People around me are not trustworthy.,1
Support from social network,26_support_social,I don't have other close support. I am strong enough to rely everything on myself.,I don't need close support.,1,Social support is not neccessary for me. I always believe I need to rely on myself and believe myself.,1,"As long as I am strong and capable enough, I don't need support from others. Some family support is enough.",1
Relationship with friends and colleagues,27_relationship_social,"I don't hangout with my friends or colleagues. I don't socialize outside of work or formal meetings. While I have friends and colleagues, I don't often make plans to hang out with them in a more relaxed or informal setting.",I lack of social engagement with friends and colleagues.,0,"I prioritize work other than socialize and hangout with friends and colleagues. Even when I go out for dinner with my colleagues, I just want to discuss work-related topics with them.",0,"While I currently don’t often socialize outside of work or engage in informal activities with friends and colleagues, this is largely due to my prioritization of work. This focus on work is a choice I've made, rather than an inherent inability to socialize. ",0
Relationship with friends and colleagues,27_relationship_social,"My days are usually long, and by the time I finish work, I feel too tired to socialize. I have a few close friends and get along well with my coworkers, but I rarely spend time with them outside of work.  I spend most of my weekends catching up on rest.",I'm too busy and tired to spend time with friends or coworkers. It's just not feasible with my work schedule.,0,Perhaps there are ways to integrate social activities into my schedule without them being overly draining or time-consuming.,0,"While my job is demanding, it might not be solely to blame for my lack of social engagement. It's about finding a balance. I can start by planning small, manageable social activities, like a coffee catch-up with a coworker or a short weekend meet-up with friends. ",0
Relationship with friends and colleagues,27_relationship_social,"I have a team that I get along with, and I'm friendly with a few people in other departments. However, I rarely join them for lunches or after-work gatherings. Last time I went out, I felt awkward and left early. Since then, I've been avoiding social events.","Social events are always uncomfortable, and my coworkers don't really want me there. If I go, it'll just end badly, so it's better not to try.",1,Is it true that all social events will be uncomfortable based on one awkward experience? ,0,"While I had one awkward experience at a social event, this doesn't mean all future events will be the same. It's possible to have a different experience next time. My coworkers have been friendly at work, so it's likely they would be receptive to me at social events too. I can try attending another event but set a time limit for how long I stay, so it feels more manageable. ",0
Relationship with friends and colleagues,27_relationship_social,"I’ve stopped trying to socialize with my colleagues and spend my evenings working or alone. I have colleagues who occasionally go out after work, but I usually decline their invitations. Last time I joined them, I felt out of place and didn't contribute much to the conversation. I think they didn’t enjoy my company. ","My colleagues didn’t enjoy my company the last time, so they probably don’t want me around. I'm just not good at socializing, and every attempt to hang out will be uncomfortable and unenjoyable.",1,"Is it fair to assume that one less-than-ideal experience means all future social interactions will be the same? Perhaps my colleagues have different perspectives on that evening, and my assumption may not be entirely accurate.",0,"While my last social outing with colleagues wasn't as enjoyable as I hoped, it doesn’t define my entire social capability or future experiences. ",0
Managing boundaries in close relationship,28_boundary," I've been feeling a bit distant from my partner. We've had a few disagreements, and sometimes I find it hard to express my feelings. Last week, we had a discussion about future plans, and it didn't go well. I started feeling like maybe we're not right for each other, and I've been avoiding deep conversations since then.","Every time we have a disagreement, it proves that we're incompatible. I can't be comfortable with my partner if we can't agree on everything.",1,"Is it realistic to expect agreement on everything in a relationship? Disagreements are normal, and they don't necessarily mean we're incompatible. ",0,"While we have disagreements, it's a natural part of any relationship. These moments don't define our entire relationship. Instead of seeing each disagreement as proof of incompatibility, I can view them as opportunities for growth and better understanding. ",0
Managing boundaries in close relationship,28_boundary,I don't feel comfortable with my boyfriend. He is too dominant. He doesn't listen to me if we have any disagreement.,My boyfriend's dominant behavior makes me feel uncomfortable and leads me to think we are not good fits.,0,I haven't pay efforts to communicate my feelings about this behavior to my boyfriend.,0,"Although my boyfriend's dominant behavior in disagreements makes me feel uncomfortable, I recognize that I haven't fully communicated my feelings about this to him. This realization opens up a new perspective: our communication issues might be contributing to the discomfort I'm feeling, rather than it being an inherent incompatibility in our relationship.",0
Managing boundaries in close relationship,28_boundary,"I don't feel comfortable with my partner. She demands too much on sex. Even if I am too tired after work, she may push me to have sex. Although I mentioned my feeling to her a few times.","My partner's high demand for sex, even when I'm exhausted, might mean she doesn't care about my feelings or well-being.",0,Do I still want to be with her considering her demands compromise my health and even mental well-being?,0,"My partner's high demand for sex is making me uncomfortable and raising concerns about my well-being, this situation calls for a deeper evaluation of our relationship dynamics. It's crucial to prioritize my health and mental well-being. The discomfort I'm experiencing is a signal for me to reassess our relationship and consider the changes needed for a healthier balance. Maybe I should end the relationship.",0
Managing boundaries in close relationship,28_boundary,"No. I am involved in a domestic violence case with my husband right now. My husband hit me, and we are in a long-distance relationship. I don't know how to solve the situation. I don't want to divorce. As my friends and family will judge me. You know, my culture. ",I don't know how to seek for help in my current situation. Seeking help might make the situation worse and I am fear judgment from others. ,0,Perhaps I can start to look for confidential resources like hotlines or online counseling where I can discuss my situation anonymously. ,0, Confidential resources can provide a safe space for me to express your concerns and explore some possible options. I need to prioritize my own safety and well-being.,0
Managing boundaries in close relationship,28_boundary,"No. I am involved in a domestic violence case with my husband right now. My husband hit me, and we are in a long-distance relationship. ",It might be my fault that makes my husband being unsatisfied with me.,1,I might want to talk to a trusted friend to get some objective feedback about my situation.,0,I am currently dealing with a domestic violence case involving my husband and need to seek help from trusted person to help me evaluate the situation.,0
Managing sexual safety,29_safe_sex,We might engage in risky sexual behaviors. We are aware of the risks but sometimes feel pressured or tempted to not take precautions.,I don't need to worry about using protection every time. It's not like something bad will happen to me. I'm healthy and so are my partners.,0,Unprotected sex increase the possibility of sexually transmitted infections and unintended pregnancies. And I am not ready for a baby yet.,0,"While I trust myself and my partners, I recognize that using protection is a responsible choice for my health and theirs. ",0
Managing sexual safety,29_safe_sex,I might have risky sexual behaviors. I don't have too much experiences in this field. I was just following what my partner said. But it feels wired.,"I don't have much experience, so I should just do what my partner says. ",0,Is it true that my lack of experience means I should ignore my feelings of discomfort? Can I communicate my feelings and concerns with my partner and seek more information to make informed decisions? ,0,"My feelings of discomfort are valid and important, regardless of my level of experience. It's essential to communicate my boundaries and concerns with my partner. I can seek more information about safe sexual practices and assert what I am comfortable with.",0
Productivity at work or school,30_productivity,I've been noticing that my productivity at work has decreased recently. I'm struggling to complete tasks on time and often find myself procrastinating or getting distracted by minor issues.,"I'm just not good at my job anymore. Maybe I'm losing my abilities, or I'm not as smart as I thought I was.",0,"Productivity can be influenced by many factors, including workload, stress, work environment... Maybe I am too stressful, so I am less productive.",0,"While I'm experiencing a period of lower productivity, this doesn't define my overall abilities or worth at my job. It's an opportunity to assess what might be impacting my performance and to explore strategies to improve it. Maybe I need to reorganize my workload or take short breaks to maintain focus.",0
Productivity at work or school,30_productivity," I've been feeling really unproductive at work lately. Despite my efforts, I always seem to be behind on my tasks, and it feels like my colleagues are achieving much more than I am.","I'm a complete failure at my job. Everyone else is doing better than me. I'm just not cut out for this, and I'll never be able to catch up or be as good as my colleagues.",1,It's unfair to compare my progress with others without knowing their unique challenges and circumstances.,0,Maybe it's not good to make unfair comparisons with colleagues. I feel I am a loser. I am really not productive recently.,1
Productivity at work or school,30_productivity,"I am not productive recently. Recently, I've been struggling to keep up with my workload at work. It seems like no matter how much I do, there's always more piling up, and I end up feeling overwhelmed and unproductive.",I'm the only one who can't manage their workload. I'm probably going to get fired because I can't do anything right.,1,"Yeah, challenge my thoughts, right? Am I the only who feel less productive recently? I might want to check with my coworkers and my mentors to see what do they think about my performance.",0,"Although I feel not productive enough, I might want to check with others to see if it is true, or I am just push myself too hard.",0
Motivation at work or school,31_motivation,"I am not too motivated for school. I have a big project due at work in a week, but I've been procrastinating and feeling overwhelmed. I'm worried I won't finish it on time. The overwhelming feeling makes me trying to avoid it.",I don't have enough motivation for school because I am threatened by the challenging project. ,0,"It's a big and important project. But if I cannot finish it on time, it might be possible for me to ask for an extension on the project.",0,"Instead of viewing it as a threat, I can see it as a challenge to overcome. Proactively managing my time and allowing for breaks will prevent burnout. If necessary, I can consider discussing an extension, but my focus should be on changing my approach to the project to rebuild my motivation and confidence.",
Motivation at work or school,31_motivation,"I am lossing some motivation about my work now. I recently received feedback on a work project, and although most of it was positive, there was one area where my performance was criticized. Since then, I've been feeling really demotivated about my job.","I'm terrible at my job because I made a mistake. I always mess things up, and my boss probably thinks I'm incompetent.",1,"Everyone makes mistakes, and one area of criticism doesn't negate all my achievements and skills. ",0,"Instead of seeing the feedback as a personal failure, I can view it as constructive criticism. I can focus on how to improve my work based on the feedback and try to turn it into a possitive step towards my career development.",0
Motivation at work or school,31_motivation,"Not actually, I am not that motivated for my work. I recently applied for a promotion at work but was turned down. I've been feeling extremely discouraged and starting to doubt my abilities. ","Being rejected for this promotion means I'm not good enough, and I'll never be successful. I always fail when it matters most.",1,"I'm taking this one rejection and applying it to my entire career, viewing things in black-and-white terms (success or failure), and predicting a bleak future based on this single event.",0,A single rejection doesn't define my entire career or capabilities. I should not loss motivation because of one rejection.,0
Coping skills to de-stress,32_coping,"I don't have a really good coping skill. After a long and stressful day at work, I find myself feeling overwhelmed. I notice that I often resort to sitting on the couch and mindlessly scrolling through social media for hours. I still feel overwhelmed or even more directionless afterward.","I don't have any good coping skills. Mindlessly scrolling through social media is the only thing I can do to try to feel better, but it doesn't really help.",0,There might be more active ways to manage my stress that I haven't tried.,0,As social media doesn't really help me de-stress. I should explore other de-stress methods. Or even look for and learn other coping method from the social media.,0
Coping skills to de-stress,32_coping,"I don't have coping skills. When I face challenges, I notice that my usual response is to isolate myself and ruminate over what happened, often leading to increased anxiety and a sense of hopelessness.","I can't handle stress well. The only thing I can do is to dwell on my problems, which never really helps, but I don't know any other way to cope.",0,"Is it really true that ruminating on my problems is the only way I can cope? This approach works sometimes, especially when I have actually done something inappropriate.",0,"Recognizing that rumination is not the only coping strategy available to me is the first step in improving my situation. While it's true that reflecting on my actions can be helpful in certain situations, such as when I've made a mistake, it's also important to acknowledge that constant rumination, especially when it leads to increased anxiety and hopelessness, isn't beneficial. I can explore alternative coping methods that might be more effective and less detrimental to my mental health. ",0
